host,port,status
10.0.5.148,53,closed
10.0.5.149,53,closed
10.0.5.150,53,closed
10.0.5.151,53,closed
10.0.5.152,53,closed
10.0.5.153,53,closed
10.0.5.154,53,closed
10.0.5.155,53,closed
10.0.5.156,53,closed
10.0.5.157,53,closed
10.0.5.158,53,closed
10.0.5.159,53,closed
10.0.5.160,53,closed
10.0.5.161,53,closed
10.0.5.162,53,closed
10.0.5.163,53,closed
10.0.5.164,53,closed
10.0.5.165,53,closed
10.0.5.166,53,closed
10.0.5.167,53,closed
10.0.5.168,53,closed
10.0.5.169,53,closed
10.0.5.170,53,closed
10.0.5.171,53,closed
10.0.5.172,53,closed
10.0.5.173,53,closed
10.0.5.174,53,closed
10.0.5.175,53,closed
10.0.5.176,53,closed
10.0.5.177,53,closed
10.0.5.178,53,closed
10.0.5.179,53,closed
10.0.5.180,53,closed
10.0.5.181,53,closed
10.0.5.182,53,closed
10.0.5.183,53,closed
10.0.5.184,53,closed
10.0.5.185,53,closed
10.0.5.186,53,closed
10.0.5.187,53,closed
10.0.5.188,53,closed
10.0.5.189,53,closed
10.0.5.190,53,closed
10.0.5.191,53,closed
10.0.5.192,53,closed
10.0.5.193,53,closed
10.0.5.194,53,closed
10.0.5.195,53,closed
10.0.5.196,53,closed
10.0.5.197,53,closed
10.0.5.198,53,closed
10.0.5.199,53,closed
10.0.5.200,53,closed
10.0.5.201,53,closed
10.0.5.202,53,closed
10.0.5.203,53,closed
10.0.5.204,53,closed
10.0.5.205,53,closed
10.0.5.206,53,closed
10.0.5.207,53,closed
10.0.5.208,53,closed
10.0.5.209,53,closed
10.0.5.210,53,closed
10.0.5.211,53,closed
10.0.5.212,53,closed
10.0.5.213,53,closed
10.0.5.214,53,closed
10.0.5.215,53,closed
10.0.5.216,53,closed
10.0.5.217,53,closed
10.0.5.218,53,closed
10.0.5.219,53,closed
10.0.5.220,53,closed
10.0.5.221,53,closed
10.0.5.222,53,closed
10.0.5.223,53,closed
10.0.5.224,53,closed
10.0.5.225,53,closed
10.0.5.226,53,closed
10.0.5.227,53,closed
10.0.5.228,53,closed
10.0.5.229,53,closed
10.0.5.230,53,closed
10.0.5.231,53,closed
10.0.5.232,53,closed
10.0.5.233,53,closed
10.0.5.234,53,closed
10.0.5.235,53,closed
10.0.5.236,53,closed
10.0.5.237,53,closed
10.0.5.238,53,closed
10.0.5.239,53,closed
10.0.5.240,53,closed
10.0.5.241,53,closed
10.0.5.242,53,closed
10.0.5.243,53,closed
10.0.5.244,53,closed
10.0.5.245,53,closed
10.0.5.246,53,closed
10.0.5.247,53,closed
10.0.5.248,53,closed
10.0.5.249,53,closed
10.0.5.250,53,closed
10.0.5.251,53,closed
10.0.5.252,53,closed
10.0.5.253,53,closed
10.0.5.254,53,closed
